time;volume;open;high;low;close;;dif;dir;token;;shadow_down;shadow_up
29.06.22 15:00;13043656;1115,85;1121,85;1101,7;1104,55;;11.мар;-;ETHUSD;;2.849999999999909;6.0
29.06.22 16:00;31704845;1104,55;1114,5;1087,7;1108,05;;03.май;+;ETHUSD;;16.84999999999991;6.4500000000000455
29.06.22 17:00;12992577;1108,05;1121,2;1105,8;1114,3;;июн.25;+;ETHUSD;;фев.25;6.900000000000091
29.06.22 18:00;9087556;1114,3;1116,45;1101,7;1112,35;;янв.95;-;ETHUSD;;10.649999999999864;2.150000000000091
29.06.22 19:00;18372886;1112,35;1113,1;1090,55;1096,65;;15.июл;-;ETHUSD;;6.100000000000136;0.75
29.06.22 20:00;32712112;1096,65;1102,45;1082,8;1102,45;;05.авг;+;ETHUSD;;13.850000000000136;0.0
29.06.22 21:00;12134924;1102,45;1108,75;1097,6;1101,1;;янв.35;-;ETHUSD;;03.май;6.2999999999999545
29.06.22 22:00;11819264;1101,1;1117,25;1099,1;1116,15;;15.май;+;ETHUSD;;2.0;1.099999999999909
29.06.22 23:00;14867931;1116,15;1121,2;1103,05;1107,6;;авг.55;-;ETHUSD;;4.5499999999999545;5.0499999999999545
30.06.22 0:00;Уровень - хорошо если отскок от него;1107,6;1116,85;1105,7;1111,85;;апр.25;+;ETHUSD;;1.8999999999998636;5.0
30.06.22 1:00;10090077;1111,85;1117,6;1099,55;1107,05;;04.авг;-;ETHUSD;;07.май;май.75
30.06.22 2:00;слева от него должно быть ниже (пин бар начинается в верхней зоне первой свечи);1107,05;1107,05;1090,45;1097,7;;сен.35;-;ETHUSD;;июл.25;0.0
30.06.22 3:00;9528825;1097,7;1104,6;1085,65;1090,25;;июл.45;-;ETHUSD;;4.599999999999909;6.899999999999864
30.06.22 4:00;18749786;1090,25;1096,65;1074;1084,3;;май.95;-;ETHUSD;;10.299999999999955;6.400000000000091
30.06.22 5:00;3862363;1084,3;1094,8;1083;1090;;05.июл;+;ETHUSD;;1.2999999999999545;4.7999999999999545
30.06.22 6:00;6002101;1090;1092,7;1084,8;1091,95;;янв.95;+;ETHUSD;;5.2000000000000455;0.75
30.06.22 7:00;6191237;1091,95;1095,15;1085,65;1089,3;;фев.65;-;ETHUSD;;3.6499999999998636;3.2000000000000455
30.06.22 8:00;5500311;1089,3;1094,45;1081,05;1086,9;;02.апр;-;ETHUSD;;5.850000000000136;5.150000000000091
30.06.22 9:00;30176416;1086,9;1089,8;1053;1057,3;;29.июн;-;ETHUSD;;4.2999999999999545;2.8999999999998636
30.06.22 10:00;10075289;1057,3;1060,05;1049,8;1055,65;;янв.65;-;ETHUSD;;5.850000000000136;фев.75
30.06.22 11:00;11334712;1055,65;1055,65;1039,75;1047,3;;авг.35;-;ETHUSD;;7.5499999999999545;0.0
30.06.22 12:00;31888079;1047,3;1049;1012,65;1026,5;;20.авг;-;ETHUSD;;13.850000000000023;1.7000000000000455
30.06.22 13:00;10863142;1026,5;1027,15;1009,25;1019,45;;07.май;-;ETHUSD;;10.200000000000045;0.650000000000091
30.06.22 14:00;13738241;1019,45;1027;1009,75;1016,4;;03.май;-;ETHUSD;;6.649999999999977;7.5499999999999545
30.06.22 15:00;20958028;1016,4;1039,1;1011,65;1030,15;;13.75;+;ETHUSD;;апр.75;8.949999999999818
30.06.22 16:00;38455215;1030,15;1035;991,5;1005,6;;24.55;-;ETHUSD;;14.100000000000023;4.849999999999909
30.06.22 17:00;14130051;1005,6;1027;1004,3;1024,5;;18.сен;+;ETHUSD;;1.3000000000000682;02.май
