,time,open,close,low,high,diff,dir,token,dif,body,shadow_up,shadow_down
42,2022-06-07 01:30:00,1857.85,1855.45,1853.8,1857.85,2.4,-,ETHUSD,2.4,0.0,0.0,1.650000000000091
43,2022-06-07 01:45:00,1855.45,1852.2,1849.45,1857.0,3.25,-,ETHUSD,3.25,0.0,1.5499999999999545,2.75
44,2022-06-07 02:00:00,1852.2,1855.1,1850.0,1858.5,2.9,+,ETHUSD,2.9,2.8999999999998636,3.400000000000091,2.2000000000000455
45,2022-06-07 02:15:00,1855.1,1856.55,1852.9,1857.0,1.45,+,ETHUSD,1.45,1.4500000000000455,0.4500000000000455,2.199999999999818
46,2022-06-07 02:30:00,1856.55,1856.95,1853.9,1856.95,0.4,+,ETHUSD,0.4,0.40000000000009095,0.0,2.6499999999998636
47,2022-06-07 02:45:00,1856.95,1858.05,1854.45,1860.4,1.1,+,ETHUSD,1.1,1.099999999999909,2.3500000000001364,2.5
48,2022-06-07 03:00:00,1858.05,1851.05,1848.35,1859.1,7.0,-,ETHUSD,7.0,0.0,1.0499999999999545,2.7000000000000455
49,2022-06-07 03:15:00,1851.05,1806.7,1797.35,1857.45,44.35,-,ETHUSD,44.35,0.0,6.400000000000091,9.350000000000136
50,2022-06-07 03:30:00,1806.7,1754.15,1745.5,1807.45,52.55,-,ETHUSD,52.55,0.0,0.75,8.650000000000091
51,2022-06-07 03:45:00,1754.15,1755.95,1749.7,1765.3,1.8,+,ETHUSD,1.8,1.7999999999999545,9.349999999999909,4.4500000000000455
52,2022-06-07 04:00:00,1755.95,1768.05,1738.3,1769.1,12.1,+,ETHUSD,12.1,12.099999999999909,1.0499999999999545,17.65000000000009
53,2022-06-07 04:15:00,1768.05,1759.6,1751.15,1768.05,8.45,-,ETHUSD,8.45,0.0,0.0,8.449999999999818
54,2022-06-07 04:30:00,1759.6,1751.6,1750.35,1759.85,8.0,-,ETHUSD,8.0,0.0,0.25,1.25
55,2022-06-07 04:45:00,1751.6,1739.05,1721.9,1752.35,12.55,-,ETHUSD,12.55,0.0,0.75,17.149999999999864
